# Constructed from biom file
#OTU ID	PV22	PV41	PV30	HV7	HV4	HV23	HV9	PV32	HV8	PV46	HV34	PV55	PV37	HV17	PV52	HV10	HV26	HV54	PV63
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0.00425531914894	0.0122653316646	0.00807259073842	0.00269086357947	0.000125156445557	0.0111389236546	0.000625782227785	0.00100125156446	0.000438047559449	0.00350438047559	0.000688360450563	0.000312891113892	0.000750938673342	0.000438047559449	0.00081351689612	0.000375469336671	0.00156445556946	0.00250312891114	0.0040675844806
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	0.000438047559449	0.000312891113892	6.25782227785e-05	0.00106382978723	0.000312891113892	0.000187734668335	6.25782227785e-05	0.000125156445557	0.000187734668335	0.000438047559449	0.000688360450563	0.000125156445557	0.000438047559449	6.25782227785e-05	0.000438047559449	0.0	0.0	0.000187734668335	0.000250312891114
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0.000250312891114	0.00125156445557	0.0017521902378	0.000563204005006	0.000187734668335	0.000438047559449	0.000125156445557	0.000563204005006	0.0	0.00118898623279	0.000125156445557	0.000375469336671	0.000500625782228	0.000125156445557	6.25782227785e-05	0.0	0.000312891113892	0.000876095118899	0.00287859824781
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	6.25782227785e-05	6.25782227785e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	0.000500625782228	0.00187734668335	0.00306633291615	0.00356695869837	0.0014392991239	0.077972465582	0.000688360450563	0.00200250312891	0.00613266583229	0.00206508135169	0.0049436795995	0.000688360450563	0.0081351689612	0.00469336670839	0.000938673341677	0.000750938673342	0.00675844806008	0.00281602002503	0.00644555694618
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__[Clostridium]	0.000312891113892	0.000125156445557	6.25782227785e-05	0.000250312891114	0.0	0.0	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.000312891113892	6.25782227785e-05	0.0	0.0	0.0	0.0	0.000125156445557
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	0.0192740926158	0.0225281602003	0.0202753441802	0.00450563204005	0.0175844806008	0.0358573216521	0.0219023779725	0.0146433041302	0.00300375469337	0.0248435544431	0.00456821026283	0.00325406758448	0.00438047559449	0.00225281602003	0.00951188986233	0.00350438047559	0.0049436795995	0.0568836045056	0.0270963704631
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	0.000625782227785	0.00187734668335	0.00131414267835	0.000625782227785	0.00212765957447	0.00281602002503	0.000375469336671	0.00100125156446	0.000187734668335	0.0202753441802	0.00081351689612	0.00206508135169	0.000938673341677	0.000187734668335	0.00150187734668	0.00156445556946	0.00106382978723	0.00219023779725	0.00281602002503
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	0.000375469336671	0.000750938673342	0.000938673341677	0.00081351689612	0.00100125156446	0.00926157697121	0.00100125156446	0.000312891113892	0.000688360450563	0.00306633291615	0.00100125156446	0.000938673341677	0.00506883604506	0.000500625782228	0.00206508135169	0.00118898623279	0.00125156445557	0.00475594493116	0.00325406758448
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__	0.0	0.0	0.0	0.0	0.0	0.000438047559449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas	0.307697121402	0.332290362954	0.32071339174	0.0127659574468	0.00312891113892	0.00394242803504	0.0637672090113	0.251564455569	0.00269086357947	0.00438047559449	0.00513141426783	0.00832290362954	0.0072590738423	0.00181476846058	0.00306633291615	0.00569461827284	0.00312891113892	0.00269086357947	0.101376720901
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium	0.417959949937	0.204568210263	0.245431789737	0.155569461827	0.00456821026283	0.0058197747184	0.136295369212	0.168210262829	0.00506883604506	0.00750938673342	0.00932415519399	0.238047559449	0.497434292866	0.00375469336671	0.00488110137672	0.0090112640801	0.00694618272841	0.00525657071339	0.373153942428
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella	0.000125156445557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	6.25782227785e-05	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.000125156445557	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	0.0177096370463	0.0613892365457	0.0426783479349	0.0167083854819	0.000876095118899	0.00100125156446	0.00275344180225	0.0185857321652	0.00125156445557	0.00212765957447	0.00269086357947	0.00300375469337	0.265519399249	0.000750938673342	0.0017521902378	0.00181476846058	0.00112640801001	0.00081351689612	0.0381727158949
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum	0.00369211514393	0.00688360450563	0.00344180225282	0.00569461827284	0.000500625782228	0.000500625782228	0.00118898623279	0.00294117647059	0.000187734668335	0.00219023779725	0.00400500625782	0.00137672090113	0.00081351689612	0.000125156445557	0.0	0.00131414267835	0.0063829787234	0.000500625782228	0.000750938673342
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium	0.000500625782228	0.000125156445557	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	0.000438047559449	0.000375469336671	0.000438047559449	0.000187734668335	0.000125156445557	0.0017521902378	6.25782227785e-05	6.25782227785e-05	0.000938673341677	0.000438047559449	0.000375469336671	0.000187734668335	0.000250312891114	0.000250312891114	0.000563204005006	0.0	0.00125156445557	0.000876095118899	0.000312891113892
